Views,Show View,"Alt+Shift+Q, D",In Windows,org.eclipse.ui.views.showView
Run/Debug,Coverage TestNG Suite,"Alt+Shift+E, G",In Windows,org.eclipse.eclemma.ui.testNgSuiteShortcut.coverage
Web Page Editor Layout,Horizontal Layout,Ctrl+Shift+F10,Using Web Page Editor,org.eclipse.jst.pagedesigner.horizotal
Search,Show Occurrences in File Quick Menu,Ctrl+Shift+U,In Windows,org.eclipse.jdt.ui.edit.text.java.search.occurrences.in.file.quickMenu
Database Tools,Run,Ctrl+Alt+R,Editing SQL,org.eclipse.datatools.sqltools.sqleditor.runAction
Navigate,Go to Previous Member,Ctrl+Shift+Up,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.goto.previous.member
Source,Organize Imports,Ctrl+Shift+O,In Windows,org.eclipse.jdt.ui.edit.text.java.organize.imports
Edit,Redo,Ctrl+Y,In Dialogs and Windows,org.eclipse.ui.edit.redo
File,Properties,Alt+Enter,In Windows,org.eclipse.ui.file.properties
Text Editing,Expand All,Ctrl+Numpad_Multiply,Editing Text,org.eclipse.ui.edit.text.folding.expand_all
Edit,Restore Last Selection,Alt+Shift+Down,Editing JET Source,org.eclipse.jdt.ui.edit.text.java.select.last
Run/Debug,Debug Java Applet,"Alt+Shift+D, A",In Windows,org.eclipse.jdt.debug.ui.javaAppletShortcut.debug
Emmet,Next Edit Point,Ctrl+Alt+],Editing Text,io.emmet.eclipse.commands.next_edit_point
Run/Debug,Debug Java Application,"Alt+Shift+D, J",In Windows,org.eclipse.jdt.debug.ui.localJavaShortcut.debug
Views,Show View (History),"Alt+Shift+Q, Z",In Windows,org.eclipse.ui.views.showView
Navigate,Quick Hierarchy,Ctrl+T,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.open.hierarchy
Server,Publish,Ctrl+Alt+P,In Servers View,org.eclipse.wst.server.publish
Edit,Move,Alt+Shift+V,Editing JSP Source,org.eclipse.jst.jsp.ui.refactor.move
Views,Refresh View (Gradle Tasks),F5,In Gradle Tasks View,org.eclipse.buildship.ui.commands.refreshtaskview
Navigate,Next Tab,Ctrl+`,In Dialogs and Windows,org.eclipse.ui.navigate.nextTab
Emmet,Remove Tag,Ctrl+Shift+I,Editing Text,io.emmet.eclipse.commands.remove_tag
Search,Open Search Dialog,Ctrl+H,In Windows,org.eclipse.search.ui.openSearchDialog
Edit,Add Bookmark,Ctrl+Numpad_7,In Windows,org.eclipse.ui.edit.addBookmark
Source,Toggle Comment,Ctrl+/,Editing Properties Files,org.eclipse.jdt.ui.edit.text.java.toggle.comment
File,Close All,Ctrl+Shift+F4,In Windows,org.eclipse.ui.file.closeAll
Source,Open Declaration,F3,Editing Ant Buildfiles,org.eclipse.ant.ui.open.declaration.command
Navigate,Previous,"Ctrl+,",In Windows,org.eclipse.ui.navigate.previous
Terminal view commands,Terminal view insert,Alt+V,Terminal Typing Connected,org.eclipse.tm.terminal.command1
Text Editing,Scroll Line Up,Ctrl+Up,Editing Text,org.eclipse.ui.edit.text.scroll.lineUp
Window,Show System Menu,Alt+-,In Windows,org.eclipse.ui.window.showSystemMenu
Source,Toggle Mark Occurrences,Alt+Shift+O,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.toggleMarkOccurrences
Language Servers,Format,Ctrl+Shift+F,Editing Text,org.eclipse.lsp4e.format
Run/Debug,Execute,Ctrl+U,In Windows,org.eclipse.jdt.debug.ui.commands.Execute
Run/Debug,Next Page of Memory,Ctrl+Shift+.,In Table Memory Rendering,org.eclipse.debug.ui.command.nextpage
Terminal view commands,Terminal view insert,Alt+C,Terminal Typing Connected,org.eclipse.tm.terminal.command1
Run/Debug,Debug OSGi Framework,"Alt+Shift+D, O",In Windows,org.eclipse.pde.ui.EquinoxLaunchShortcut.debug
File,Rename,F2,In Windows,org.eclipse.ui.edit.rename
Text Editing,To Upper Case,Ctrl+Shift+X,Editing Text,org.eclipse.ui.edit.text.upperCase
Navigate,Go to Matching Bracket,Ctrl+Shift+P,Editing JavaScript Source,org.eclipse.wst.jsdt.ui.edit.text.java.goto.matching.bracket
File,New,Ctrl+N,In Windows,org.eclipse.ui.newWizard
Text Editing,Move Lines Down,Alt+Down,Editing Text,org.eclipse.ui.edit.text.moveLineDown
Run/Debug,Debug XSLT Transformation,"Alt+Shift+D, X",In Windows,org.eclipse.wst.xsl.debug.ui.launchshortcut.debug
Run/Debug,Inspect,Ctrl+Shift+I,In Dialogs and Windows,org.eclipse.jdt.debug.ui.commands.Inspect
Server,Stop,Ctrl+Alt+S,In Servers View,org.eclipse.wst.server.stop
Terminal view commands,Terminal view insert,Alt+W,Terminal Typing Connected,org.eclipse.tm.terminal.command1
Navigate,Quick Outline,Ctrl+Shift+O,Task Markup Editor Source Context,org.eclipse.mylyn.wikitext.ui.quickOutlineCommand
Window,Toggle Shared Area Visibility,"Ctrl+Shift+S, Ctrl+Shift+A",In Windows,org.eclipse.ui.window.hideShowEditors
Navigate,Deactivate Task,Ctrl+Shift+F9,In Windows,org.eclipse.mylyn.tasks.ui.command.deactivateAllTasks
Navigate,Backward History,Alt+Left,In Windows,org.eclipse.ui.navigate.backwardHistory
SVN,Lock...,Ctrl+Alt+K,In Windows,org.eclipse.team.svn.ui.command.LockCommand
Terminal view commands,Maximize Active View or Editor,"Ctrl+Shift+M, A, X",Terminal Control in Focus,org.eclipse.tm.terminal.maximize
Task Repositories,Quick Outline,Ctrl+O,In Tasks Editor,org.eclipse.mylyn.task.ui.editor.QuickOutline
Navigate,Go To Next Unread Task,Alt+Down,In Tasks View,org.eclipse.mylyn.tasks.ui.command.goToNextUnread
Run/Debug,Run Maven Build,"Alt+Shift+X, M",In Windows,org.eclipse.m2e.core.pomFileAction.run
Source,Toggle Comment,Ctrl+Shift+C,Editing JavaScript Source,org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment
Text Editing,Toggle Folding,Ctrl+Numpad_Divide,Editing Text,org.eclipse.ui.edit.text.folding.toggle
Navigate,Open Type,Ctrl+Shift+T,Editing JavaScript Source,org.eclipse.wst.jsdt.ui.navigate.open.type
Window,Show Key Assist,Ctrl+Shift+L,In Dialogs and Windows,org.eclipse.ui.window.showKeyAssist
File,Refresh,F5,In Windows,org.eclipse.ui.file.refresh
Run/Debug,Step Into,F5,Debugging,org.eclipse.debug.ui.commands.StepInto
Uncategorized,Find References,Ctrl+Shift+G,in Generic Code Editor,org.eclipse.ui.genericeditor.findReferences
Terminal view commands,Terminal view insert,Alt+E,Terminal Typing Connected,org.eclipse.tm.terminal.command1
Edit,Select Next Element,Alt+Shift+Right,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.select.next
Navigate,Next,Ctrl+.,In Windows,org.eclipse.ui.navigate.next
Terminal view commands,Terminal view insert,Alt+L,Terminal Typing Connected,org.eclipse.tm.terminal.command1
Source,Add Block Comment,Ctrl+Shift+/,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.add.block.comment
Text Editing,Select Line End,Shift+End,Editing Text,org.eclipse.ui.edit.text.select.lineEnd
Terminal Commands,Open Local Terminal on Selection,Ctrl+Alt+Shift+T,In Windows,org.eclipse.tm.terminal.view.ui.command.launchToolbar
Window,Preferences (Web > JSP Files > Editor > Templates),"Ctrl+Shift+K, Ctrl+Shift+P",In Windows,org.eclipse.ui.window.preferences
Navigate,Go to Previous Member,Ctrl+Shift+Up,Editing JavaScript Source,org.eclipse.wst.jsdt.ui.edit.text.java.goto.previous.member
Navigate,Open Type Hierarchy,F4,JavaScript View,org.eclipse.wst.jsdt.ui.edit.text.java.open.type.hierarchy
Task Repositories,Mark Task Complete,Alt+Shift+C,In Tasks Editor,org.eclipse.mylyn.tasks.ui.command.markTaskComplete
Text Editing,Zoom In,Ctrl++,Editing Text,org.eclipse.ui.edit.text.zoomIn
Window,Minimize Active View or Editor,"Ctrl+Shift+M, I, N",Terminal Control in Focus,org.eclipse.ui.window.minimizePart
Edit,Toggle Word Wrap,Alt+Shift+Y,Editing Text,org.eclipse.ui.edit.text.toggleWordWrap
Views,Show View,"Alt+Shift+Q, Q",In Windows,org.eclipse.ui.views.showView
SVN,Latest from Repository,Ctrl+Alt+L,In Windows,org.eclipse.team.svn.ui.command.CompareWithLatestRevisionCommand
Text Editing,Select Previous Word,Ctrl+Shift+Left,Editing Text,org.eclipse.ui.edit.text.select.wordPrevious
Source,Toggle Ant Mark Occurrences,Alt+Shift+O,Editing Ant Buildfiles,org.eclipse.ant.ui.toggleMarkOccurrences
Source,Toggle Comment,Ctrl+7,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.toggle.comment
Git,Collapse Working Tree,Ctrl+Left,In Git Repositories View,org.eclipse.egit.ui.RepositoriesViewCollapseWorkingTree
Run/Debug,Display,Ctrl+Shift+D,In Dialogs and Windows,org.eclipse.jdt.debug.ui.commands.Display
Refactor - Java,Rename - Refactoring ,Alt+Shift+R,In Windows,org.eclipse.jdt.ui.edit.text.java.rename.element
Views,Show View (Error Log),"Alt+Shift+Q, L",In Windows,org.eclipse.ui.views.showView
Terminal view commands,Copy,Ctrl+Insert,Terminal Control in Focus,org.eclipse.tm.terminal.copy
Focused UI,Focus on Active Task,Alt+Shift+H,In Windows,org.eclipse.mylyn.context.ui.commands.toggle.focus.active.view
Search,Find Text in Workspace,Ctrl+Alt+G,In Windows,org.eclipse.search.ui.performTextSearchWorkspace
Source,Add Javadoc Comment,Alt+Shift+J,In Windows,org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment
Edit,Add Im&port,Ctrl+Shift+M,Editing JSP Source,org.eclipse.jst.jsp.ui.add.imports
Text Editing,Toggle Overwrite,Insert,Editing Text,org.eclipse.ui.edit.text.toggleOverwrite
Run/Debug,Coverage JUnit Test,"Alt+Shift+E, T",In Windows,org.eclipse.eclemma.ui.junitShortcut.coverage
Git,Quick Outline,Ctrl+O,In Diff Viewer,org.eclipse.egit.ui.commit.DiffEditorQuickOutlineCommand
Edit,Open Selection,F3,Editing in Structured Text Editors,org.eclipse.wst.sse.ui.open.file.from.source
Run/Debug,Go to Address,Ctrl+G,In Table Memory Rendering,org.eclipse.debug.ui.command.gotoaddress
Navigate,Next Page,Ctrl+F5,Using Web Page Editor,org.eclipse.ui.part.nextPage
Task Repositories,Mark Task Read,Alt+Shift+R,In Tasks View,org.eclipse.mylyn.tasks.ui.command.markTaskRead
Terminal view commands,Terminal view insert,Alt+P,Terminal Typing Connected,org.eclipse.tm.terminal.command1
File,New menu,Alt+Shift+N,In Windows,org.eclipse.ui.file.newQuickMenu
Edit,Select Previous Element,Alt+Shift+Left,Editing JET Source,org.eclipse.jdt.ui.edit.text.java.select.previous
Navigate,Open from Clipboard,Ctrl+Shift+V,In Windows,org.eclipse.jdt.debug.ui.command.OpenFromClipboard
Views,Show View (Search),"Alt+Shift+Q, S",In Windows,org.eclipse.ui.views.showView
Edit,Format,Ctrl+Shift+F,Editing in Structured Text Editors,org.eclipse.wst.sse.ui.format.document
Emmet,Wrap With Abbreviation...,Ctrl+Shift+A,Editing Text,io.emmet.eclipse.commands.wrap_with_abbreviation
Navigate,Go to Matching Bracket,Ctrl+Shift+P,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.goto.matching.bracket
Window,Show Ruler Context Menu,Ctrl+F10,Editing Text,org.eclipse.ui.edit.text.showRulerContextMenu
Source,Quick Assist - Rename in file,"Ctrl+2, R",Editing JavaScript Source,org.eclipse.wst.jsdt.ui.correction.renameInFile.assist
Git,Rename Branch...,F2,In Git Repositories View,org.eclipse.egit.ui.team.RenameBranch
SVN,Commit...,Ctrl+Alt+C,In Windows,org.eclipse.team.svn.ui.command.CommitCommand
Edit,Select Next Element,Alt+Shift+Right,Editing in Structured Text Editors,org.eclipse.wst.sse.ui.structure.select.next
Navigate,Open Maven POM,Alt+Shift+P,In Windows,org.eclipse.m2e.core.ui.command.openPom
Terminal view commands,Terminal view insert,Alt+H,Terminal Typing Connected,org.eclipse.tm.terminal.command1
JET Refactor Actions,Rename,Alt+Shift+R,Editing JET Source,org.eclipse.codegen.ui.jet.rename
Task Repositories,Mark Task Incomplete,Alt+Shift+I,In Tasks View,org.eclipse.mylyn.tasks.ui.command.markTaskIncomplete
Navigate,Open Call Hierarchy,Ctrl+Alt+H,In Windows,org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy
Run/Debug,Step Return,F7,Debugging,org.eclipse.debug.ui.commands.StepReturn
Window,Preferences (General > Keys),"Ctrl+Shift+K, Ctrl+Shift+E",In Windows,org.eclipse.ui.window.preferences
Text Editing,Join Lines,Ctrl+Alt+J,Editing Text,org.eclipse.ui.edit.text.join.lines
Navigate,Go to Next Member,Ctrl+Shift+Down,Editing JavaScript Source,org.eclipse.wst.jsdt.ui.edit.text.java.goto.next.member
Navigate,Open Call Hierarchy,Ctrl+Alt+H,JavaScript View,org.eclipse.wst.jsdt.ui.edit.text.java.open.call.hierarchy
Source,Format,Ctrl+Shift+F,Editing Ant Buildfiles,org.eclipse.jdt.ui.edit.text.java.format
Run/Debug,Skip All Breakpoints,Ctrl+Alt+B,In Windows,org.eclipse.debug.ui.commands.SkipAllBreakpoints
Source,Toggle Comment,Ctrl+/,Editing JavaScript Source,org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment
Run/Debug,Run OSGi Framework,"Alt+Shift+X, O",In Windows,org.eclipse.pde.ui.EquinoxLaunchShortcut.run
Web Page Editor Layout,Source Code,Ctrl+Shift+F12,Using Web Page Editor,org.eclipse.jst.pagedesigner.source
Database Tools,Execute Selected Text As One Statement,Alt+C,Editing SQL,org.eclipse.datatools.sqltools.sqleditor.ExecuteAsOneStatementAction
Navigate,Go to Next Member,Ctrl+Shift+Down,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.goto.next.member
Refactor - Java,Extract Local Variable,Alt+Shift+L,In Windows,org.eclipse.jdt.ui.edit.text.java.extract.local.variable
Terminal view commands,Copy,Ctrl+Shift+C,Terminal Control in Focus,org.eclipse.tm.terminal.copy
Navigate,Open Declaration,F3,In Windows,org.eclipse.jdt.ui.edit.text.java.open.editor
Run/Debug,Run Java Application,"Alt+Shift+X, J",In Windows,org.eclipse.jdt.debug.ui.localJavaShortcut.run
Source,Correct Indentation,Ctrl+I,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.indent
Source,Show Source Quick Menu,Alt+Shift+S,In Windows,org.eclipse.jdt.ui.edit.text.java.source.quickMenu
Views,Show View (Javadoc),"Alt+Shift+Q, J",In Windows,org.eclipse.ui.views.showView
Task Repositories,Show Tooltip Description,F4,In Tasks View,org.eclipse.mylyn.tasks.ui.command.showToolTip
Edit,Toggle Comment,Ctrl+/,Editing SQL,org.eclipse.datatools.sqltools.sqleditor.toggleCommentAction
File,Close,Ctrl+F4,In Windows,org.eclipse.ui.file.close
Window,Previous Editor,Ctrl+Shift+F6,In Windows,org.eclipse.ui.window.previousEditor
Search,Declaration in Workspace,Ctrl+G,JavaScript View,org.eclipse.wst.jsdt.ui.edit.text.java.search.declarations.in.workspace
Run/Debug,Run JUnit Test,"Alt+Shift+X, T",In Windows,org.eclipse.jdt.junit.junitShortcut.run
Navigate,Open Resource,Ctrl+Shift+R,In Windows,org.eclipse.ui.navigate.openResource
Run/Debug,Coverage JUnit Plug-in Test,"Alt+Shift+E, P",In Windows,org.eclipse.eclemma.ui.junitPluginShortcut.coverage
Navigate,Open Type in Hierarchy,Ctrl+Shift+H,In Windows,org.eclipse.jdt.ui.navigate.open.type.in.hierarchy
JET Source Actions,Format,Ctrl+Shift+F,Editing JET Source,org.eclipse.codegen.ui.jet.format
Window,Show Contributing Plug-in,Alt+Shift+F3,In Dialogs and Windows,org.eclipse.ui.window.spy
Source,Surround With Quick Menu,Alt+Shift+Z,In Windows,org.eclipse.jdt.ui.edit.text.java.surround.with.quickMenu
Language Servers,Go to Symbol in Workspace,Ctrl+Shift+T,In Windows,org.eclipse.lsp4e.symbolinworkspace
Manifest Editor Source,Format Source,Ctrl+Shift+F,PDE editor,org.eclipse.pde.ui.edit.text.format
Run/Debug,Toggle Memory Monitors Pane,Ctrl+T,In Memory View,org.eclipse.debug.ui.commands.toggleMemoryMonitorsPane
Run/Debug,Run on Server,"Alt+Shift+X, R",In Windows,org.eclipse.wst.server.launchShortcut.run
SVN,Show Revision Graph...,Ctrl+Alt+Y,In Windows,org.eclipse.team.svn.revision.graph.command.ShowRevisionGraphCommand
Edit,Occurrences in File,Ctrl+Shift+A,Editing in Structured Text Editors,org.eclipse.wst.sse.ui.search.find.occurrences
Git,Copy Path to Clipboard,Ctrl+C,In Git Repositories View,org.eclipse.egit.ui.RepositoriesViewCopyPath
Focused UI,Make Landmark,Ctrl+Alt+Shift+Up,In Windows,org.eclipse.mylyn.context.ui.commands.interest.increment
Project,Close Unrelated Projects,"Ctrl+Shift+E, Ctrl+Shift+T",In Dialogs and Windows,org.eclipse.ui.project.closeUnrelatedProjects
Terminal view commands,Terminal view insert,Alt+B,Terminal Typing Connected,org.eclipse.tm.terminal.command1
Refactor - Java,Move - Refactoring ,Alt+Shift+V,In Windows,org.eclipse.jdt.ui.edit.text.java.move.element
Source,Annotate Class File,Ctrl+1,Browsing attached Java Source,org.eclipse.jdt.ui.edit.text.java.annotate.classFile
,,,,
Text Editing,Select Line Start,Shift+Home,Editing Text,org.eclipse.ui.edit.text.select.lineStart
SQL Results View,Terminate Result,Ctrl+Break,In Windows,org.eclipse.datatools.sqltools.result.terminate
Terminal view commands,Terminal view insert,Alt+S,Terminal Typing Connected,org.eclipse.tm.terminal.command1
Navigate,Open Structure,Ctrl+F3,Editing JavaScript Source,org.eclipse.wst.jsdt.ui.navigate.java.open.structure
Emmet,Encode/Decode Data:URL,Alt+Shift+I,Editing Text,io.emmet.eclipse.commands.encode_decode_data_url
Web Page Editor Layout,Vertical Layout,Ctrl+Shift+F9,Using Web Page Editor,org.eclipse.jst.pagedesigner.vertical
Edit,Select Enclosing JET Element,Alt+Shift+PageUp,Editing JET Source,org.eclipse.emf.codegen.ui.jet.select.enclosing
Edit,Select Enclosing Element,Alt+Shift+Up,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.select.enclosing
TM4E Language Configuration,Toggle Line Comment,Ctrl+Shift+C,Editing Text,org.eclipse.tm4e.languageconfiguration.togglelinecommentcommand
Terminal view commands,Terminal view insert,Alt+N,Terminal Typing Connected,org.eclipse.tm.terminal.command1
Source,Rename In File,Alt+Shift+R,Editing Ant Buildfiles,org.eclipse.ant.ui.renameInFile
Source,Add Block Comment,Ctrl+Shift+/,Editing JavaScript Source,org.eclipse.wst.jsdt.ui.edit.text.java.add.block.comment
Run/Debug,New Rendering,Ctrl+N,In Memory View,org.eclipse.debug.ui.commands.newRendering
Window,Preferences (Java > Editor > Templates),"Ctrl+Shift+K, Ctrl+Shift+J",In Windows,org.eclipse.ui.window.preferences
Run/Debug,EOF,Ctrl+Z,In I/O Console,org.eclipse.debug.ui.commands.eof
Emmet,Toggle Comment,Ctrl+Shift+/,Editing Text,io.emmet.eclipse.commands.toggle_comment
Text Editing,Open Hyperlink,F3,in Generic Code Editor,org.eclipse.ui.edit.text.open.hyperlink
Edit,Select Next Element,Alt+Shift+Right,Editing JET Source,org.eclipse.jdt.ui.edit.text.java.select.next
Navigate,Show In Breadcrumb,Alt+Shift+B,Editor Breadcrumb Navigation,org.eclipse.jdt.ui.edit.text.java.gotoBreadcrumb
Text Editing,Reset Structure,Ctrl+Shift+Numpad_Multiply,Editing Text,org.eclipse.ui.edit.text.folding.restore
EMF Code Generation,Generate Code,Alt+Shift+G,In Windows,org.eclipse.emf.codegen.ecore.ui.Generate
Source,Quick Assist - Extract method,"Ctrl+2, M",Editing Java Source,org.eclipse.jdt.ui.correction.extractMethodInplace.assist
Emmet,Merge Lines,Ctrl+M,Editing Text,io.emmet.eclipse.commands.merge_lines
Task Repositories,New Local Task,Insert,In Tasks View,org.eclipse.mylyn.tasks.ui.command.new.local.task
Views,Show View (Type Hierarchy),"Alt+Shift+Q, T",In Windows,org.eclipse.ui.views.showView
Run/Debug,Coverage Java Application,"Alt+Shift+E, J",In Windows,org.eclipse.eclemma.ui.localJavaShortcut.coverage
Project,Build All,Ctrl+B,In Windows,org.eclipse.ui.project.buildAll
Run/Debug,Next Memory Monitor,Ctrl+Alt+N,In Memory View,org.eclipse.debug.ui.commands.nextMemoryBlock
Text Editing,Zoom In,Ctrl+=,Editing Text,org.eclipse.ui.edit.text.zoomIn
Views,Show View (Properties),"Ctrl+Shift+S, Ctrl+Shift+P",In Windows,org.eclipse.ui.views.showView
Views,Show View (Project Explorer),"Ctrl+Shift+S, Ctrl+Shift+V",In Dialogs and Windows,org.eclipse.ui.views.showView
Navigate,Activate Task,Ctrl+F9,In Windows,org.eclipse.mylyn.tasks.ui.command.activateTask
Edit,Find and Replace,Ctrl+F,In Windows,org.eclipse.ui.edit.findReplace
Edit,Incremental Find Reverse,Ctrl+Shift+J,Editing Text,org.eclipse.ui.edit.findIncrementalReverse
Run/Debug,Run to Line,Ctrl+R,Debugging,org.eclipse.debug.ui.commands.RunToLine
Source,Add Import,Ctrl+Shift+M,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.add.import
Edit,Context Information,Ctrl+Shift+Space,In Dialogs and Windows,org.eclipse.ui.edit.text.contentAssist.contextInformation
Window,Next Editor,Ctrl+F6,In Windows,org.eclipse.ui.window.nextEditor
Edit,Quick Fix,Ctrl+1,In Dialogs and Windows,org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals
Text Editing,Next Word,Ctrl+Right,Editing Text,org.eclipse.ui.edit.text.goto.wordNext
Edit,Cut,Shift+Delete,In Dialogs and Windows,org.eclipse.ui.edit.cut
Text Editing,Scroll Line Down,Ctrl+Down,Editing Text,org.eclipse.ui.edit.text.scroll.lineDown
Navigate,Open Plug-in Artifact,Ctrl+Shift+A,In Windows,org.eclipse.pde.ui.openPluginArtifact
Project,Close Project,"Ctrl+Shift+E, Ctrl+Shift+R",In Dialogs and Windows,org.eclipse.ui.project.closeProject
Navigate,Next Page,Alt+F7,In Windows,org.eclipse.ui.part.nextPage
Views,Show View (Package Explorer),"Alt+Shift+Q, P",In Windows,org.eclipse.ui.views.showView
Language Servers,Go to Symbol in File,Ctrl+O,Editing Text,org.eclipse.lsp4e.symbolinfile
Source,Remove Block Comment,Ctrl+Shift+\,Editing Java Source,org.eclipse.jdt.ui.edit.text.java.remove.block.comment
Views,Show View (Bookmarks),Ctrl+Alt+Numpad_7,In Windows,org.eclipse.ui.views.showView
Edit,Add Maven Dependency,Ctrl+Shift+D,Editing XML Source,org.eclipse.m2e.core.ui.command.addDependency
Navigate,Open Structure,Ctrl+F3,Editing Java Source,org.eclipse.jdt.ui.navigate.java.open.structure
Run/Debug,Run JUnit Plug-in Test,"Alt+Shift+X, P",In Windows,org.eclipse.pde.ui.junitWorkbenchShortcut.run
Navigate,Previous Edit Location,Ctrl+Alt+Left,In Windows,org.eclipse.ui.edit.text.gotoLastEditPosition
Task Repositories,Open Selected Task,Ctrl+Enter,In Tasks View,org.eclipse.mylyn.tasks.ui.command.openSelectedTask
Views,Show View (Variables),"Alt+Shift+Q, V",In Windows,org.eclipse.ui.views.showView
Window,Show View Menu,Ctrl+F10,In Dialogs and Windows,org.eclipse.ui.window.showViewMenu
Edit,Restore Last Selection,Alt+Shift+Down,Editing in Structured Text Editors,org.eclipse.wst.sse.ui.structure.select.last
File,Close All,Ctrl+Shift+W,In Windows,org.eclipse.ui.file.closeAll
Navigate,Next Edit Location,Ctrl+Alt+Right,In Windows,org.eclipse.ui.edit.text.gotoNextEditPosition
ASA 9.x table schema editor,Cut,Alt+X,In Windows,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples.tableschemaeditor.cutcolumn
Edit,Word Completion,Alt+/,Editing Text,org.eclipse.ui.edit.text.hippieCompletion
Text Editing,Delete Next Word,Ctrl+Delete,Editing Text,org.eclipse.ui.edit.text.deleteNextWord
Navigate,Open Remote Task,Ctrl+Alt+Shift+F12,In Windows,org.eclipse.mylyn.tasks.ui.command.openRemoteTask
Views,Show View (Task List),"Alt+Shift+Q, K",In Windows,org.eclipse.ui.views.showView
Task Repositories,Mark Task Read and Go To Next Unread Task,Alt+Shift+Down,In Tasks View,org.eclipse.mylyn.tasks.ui.command.markTaskReadGoToNextUnread
SVN,Show Annotation...,Ctrl+Alt+A,In Windows,org.eclipse.team.svn.ui.command.ShowAnnotationCommand
Source,Toggle Comment,Ctrl+7,Editing JavaScript Source,org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment
Navigate,Previous Page,Alt+Shift+F7,In Windows,org.eclipse.ui.part.previousPage
Navigate,Open Attached Javadoc,Shift+F2,In Windows,org.eclipse.jdt.ui.edit.text.java.open.external.javadoc
